Sample Name,VDBPM ID,Sample Name,VDBPM ID,Sample Name,VDBPM ID,Sample Name,VDBPM ID,Type
NA0012478686-Q1,20206,NA0012478686-Q2,20211,NA0012478686-F1,20244,NA0012478686-F2,20249,A
NA0012483068-Q1,20207,NA0012483068-Q2,20212,NA0012483068-F1,20245,NA0012483068-F2,20250,A
NA0012478187-Q1,20208,NA0012478187-Q2,20213,NA0012478187-F1,20246,NA0012478187-F2,20251,A
NA0012482751-Q1,20209,NA0012482751-Q2,20214,NA0012482751-F1,20247,NA0012482751-F2,20252,A
